GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1500000US410670319081,410670319081,"Block Group 1, Census Tract 319.08, Washington County, Oregon",97188,15571
1500000US410670319082,410670319082,"Block Group 2, Census Tract 319.08, Washington County, Oregon",123553,31469
1500000US410670319091,410670319091,"Block Group 1, Census Tract 319.09, Washington County, Oregon",99762,13054
1500000US410670319092,410670319092,"Block Group 2, Census Tract 319.09, Washington County, Oregon",125278,7148
1500000US410670319101,410670319101,"Block Group 1, Census Tract 319.10, Washington County, Oregon",106157,26046
1500000US410670319102,410670319102,"Block Group 2, Census Tract 319.10, Washington County, Oregon",133935,8803
1500000US410670319103,410670319103,"Block Group 3, Census Tract 319.10, Washington County, Oregon",83549,13175
1500000US410670319111,410670319111,"Block Group 1, Census Tract 319.11, Washington County, Oregon",58843,7646
1500000US410670319112,410670319112,"Block Group 2, Census Tract 319.11, Washington County, Oregon",84918,5781
1500000US410670319121,410670319121,"Block Group 1, Census Tract 319.12, Washington County, Oregon",88920,15339
1500000US410670319122,410670319122,"Block Group 2, Census Tract 319.12, Washington County, Oregon",92778,11911
1500000US410670319123,410670319123,"Block Group 3, Census Tract 319.12, Washington County, Oregon",51445,12971
1500000US410670320011,410670320011,"Block Group 1, Census Tract 320.01, Washington County, Oregon",47614,16627
1500000US410670320012,410670320012,"Block Group 2, Census Tract 320.01, Washington County, Oregon",79028,46613
1500000US410670320013,410670320013,"Block Group 3, Census Tract 320.01, Washington County, Oregon",123333,15868
1500000US410670320031,410670320031,"Block Group 1, Census Tract 320.03, Washington County, Oregon",32426,9026
1500000US410670320032,410670320032,"Block Group 2, Census Tract 320.03, Washington County, Oregon",29679,11713
1500000US410670320033,410670320033,"Block Group 3, Census Tract 320.03, Washington County, Oregon",53578,11645
1500000US410670320041,410670320041,"Block Group 1, Census Tract 320.04, Washington County, Oregon",85903,10052
1500000US410670320042,410670320042,"Block Group 2, Census Tract 320.04, Washington County, Oregon",61923,9486
1500000US410670320051,410670320051,"Block Group 1, Census Tract 320.05, Washington County, Oregon",91741,15795
1500000US410670320052,410670320052,"Block Group 2, Census Tract 320.05, Washington County, Oregon",51667,40771
1500000US410670320053,410670320053,"Block Group 3, Census Tract 320.05, Washington County, Oregon",37652,5789
1500000US410670320054,410670320054,"Block Group 4, Census Tract 320.05, Washington County, Oregon",27857,7868
1500000US410670321031,410670321031,"Block Group 1, Census Tract 321.03, Washington County, Oregon",103036,24590
1500000US410670321032,410670321032,"Block Group 2, Census Tract 321.03, Washington County, Oregon",65867,13550
1500000US410670321033,410670321033,"Block Group 3, Census Tract 321.03, Washington County, Oregon",95179,19704
1500000US410670321041,410670321041,"Block Group 1, Census Tract 321.04, Washington County, Oregon",102361,15612
1500000US410670321042,410670321042,"Block Group 2, Census Tract 321.04, Washington County, Oregon",73036,6201
1500000US410670321043,410670321043,"Block Group 3, Census Tract 321.04, Washington County, Oregon",125833,13874
1500000US410670321071,410670321071,"Block Group 1, Census Tract 321.07, Washington County, Oregon",95268,21268
1500000US410670321081,410670321081,"Block Group 1, Census Tract 321.08, Washington County, Oregon",115028,17404
1500000US410670321082,410670321082,"Block Group 2, Census Tract 321.08, Washington County, Oregon",91442,12901
1500000US410670321083,410670321083,"Block Group 3, Census Tract 321.08, Washington County, Oregon",109063,21586
1500000US410670321091,410670321091,"Block Group 1, Census Tract 321.09, Washington County, Oregon",165074,28205
1500000US410670321092,410670321092,"Block Group 2, Census Tract 321.09, Washington County, Oregon",150741,17058
1500000US410670321101,410670321101,"Block Group 1, Census Tract 321.10, Washington County, Oregon",71389,11718
1500000US410670321102,410670321102,"Block Group 2, Census Tract 321.10, Washington County, Oregon",126563,19965
1500000US410670322001,410670322001,"Block Group 1, Census Tract 322, Washington County, Oregon",107386,9908
1500000US410670322002,410670322002,"Block Group 2, Census Tract 322, Washington County, Oregon",78958,13491
1500000US410670322003,410670322003,"Block Group 3, Census Tract 322, Washington County, Oregon",103667,22441
1500000US410670322004,410670322004,"Block Group 4, Census Tract 322, Washington County, Oregon",-,**
1500000US410670323001,410670323001,"Block Group 1, Census Tract 323, Washington County, Oregon",84839,6315
1500000US410670324041,410670324041,"Block Group 1, Census Tract 324.04, Washington County, Oregon",62581,13478
1500000US410670324042,410670324042,"Block Group 2, Census Tract 324.04, Washington County, Oregon",85326,27538
1500000US410670324043,410670324043,"Block Group 3, Census Tract 324.04, Washington County, Oregon",67438,35205
1500000US410670324044,410670324044,"Block Group 4, Census Tract 324.04, Washington County, Oregon",74529,7527
1500000US410670324045,410670324045,"Block Group 5, Census Tract 324.04, Washington County, Oregon",76667,25078
1500000US410670324061,410670324061,"Block Group 1, Census Tract 324.06, Washington County, Oregon",41000,29500
